,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
41950,4.41,-0.33,-8.69,41950,0.09,-0.1,-0.03,,,,,,,,,
41960,4.36,-0.82,-8.34,41960,0.12,-0.14,-0.02,,,,,,,,,
41970,4.39,-0.17,-8.72,41970,0.14,-0.18,-0.01,,,,,,,,,
41980,4.61,-0.84,-8.9,41980,0,-0.19,0.05,,,,,,,,,
41990,4.54,-1.4,-9.52,41990,0,-0.22,0.04,,,,,,,,,
42000,4.67,-0.74,-10.49,42000,0.02,-0.21,0.02,,,,,,,,,
42010,4.65,-0.28,-10.76,42010,-0.13,-0.14,0.06,,,,,,,,,
42020,4.7,-0.92,-10.84,42020,-0.21,-0.04,0.1,,,,,,,,,
42030,4.57,-1.41,-10.54,42030,-0.22,0.06,0.1,,,,,,,,,
42040,4.46,-1.58,-9.85,42040,-0.18,0.13,0.1,,,,,,,,,
42050,4.46,-2.02,-8.48,42050,-0.11,0.16,0.08,,,,,,,,,
42060,4.25,-2.18,-7.22,42060,-0.04,0.12,0.05,,,,,,,,,
42070,4.37,-2.13,-6.02,42070,-0.02,0.03,0.01,,,,,,,,,
42080,4.43,-2,-5.24,42080,-0.06,-0.11,-0.03,,,,,,,,,
42090,4.31,-2.2,-4.87,42090,-0.1,-0.3,-0.05,,,,,,,,,
42100,4.5,-2.59,-4.73,42100,-0.07,-0.52,-0.1,,,,,,,,,
42110,4.63,-2.9,-5.42,42110,0.01,-0.76,-0.15,,,,,,,,,
42120,4.71,-3.04,-7.45,42120,0.14,-0.98,-0.2,,,,,,,,,
42130,4.93,-2.79,-10.64,42130,0.38,-1.12,-0.24,,,,,,,,,
42140,5.15,-1.93,-15.27,42140,0.57,-1.14,-0.27,,,,,,,,,
42150,5.58,-0.75,-20.81,42150,0.44,-0.98,-0.27,,,,,,,,,
42160,6.22,0.27,-29.65,42160,-0.21,-0.6,-0.24,,,,,,,,,
42170,6.45,1.15,-39.23,42170,-0.93,0.18,-0.18,,,,,,,,,
42180,6.1,2.59,-39.23,42180,-1.66,1.58,-0.06,,,,,,,,,
42190,4.83,4.64,-39.23,42190,-1.94,3.57,0.22,,,,,,,,,
42200,-0.25,4.92,-39.23,42200,-1.61,5.99,0.64,,,,,,,,,
42210,-9.79,5.5,-39.23,42210,-0.32,8.72,1.08,,,,,,,,,
42220,-21.46,3.69,-39.23,42220,0.78,8.73,1.35,,,,,,,,,
42230,-26.48,-0.46,-38.08,42230,0.81,8.73,1.38,,,,,,,,,
42240,-29.92,-4.02,-15.03,42240,-0.34,8.73,1.25,,,,,,,,,
42250,-28.77,-7.5,0.43,42250,-1.51,8.73,1.11,,,,,,,,,
42260,-27.64,-9.26,8.57,42260,-2.16,8.73,0.98,,,,,,,,,
42270,-26,-10.37,14.04,42270,-2.57,8.73,0.84,,,,,,,,,
42280,-24.27,-10.22,18.34,42280,-2.7,8.73,0.7,,,,,,,,,
42290,-22.84,-9.08,22,42290,-2.98,8.73,0.54,,,,,,,,,
42300,-21.63,-10.22,28.96,42300,-2.37,8.73,0.48,,,,,,,,,
42310,-16.28,-12.49,39.23,42310,-1.51,8.43,0.27,,,,,,,,,
42320,-12.97,-14.23,39.23,42320,-1.15,6.74,-0.19,,,,,,,,,
42330,-9.79,-13.7,39.23,42330,-0.7,4.56,-0.75,,,,,,,,,
42340,-7.77,-9.9,39.23,42340,-0.57,2.05,-1.28,,,,,,,,,
42350,-7.45,-4.23,39.23,42350,-0.41,-0.52,-1.58,,,,,,,,,
42360,-8.84,-0.04,39.23,42360,-0.34,-2.94,-1.62,,,,,,,,,
42370,-10.15,1.79,39.23,42370,-0.21,-4.76,-1.6,,,,,,,,,
42380,-12.79,3.91,39.23,42380,-0.12,-6.54,-1.47,,,,,,,,,
42390,-16.68,3.31,39.23,42390,-0.01,-8.49,-1.28,,,,,,,,,
42400,-24.72,0.43,39.23,42400,0.46,-8.73,-1.09,,,,,,,,,
42410,-38.19,-5.71,39.23,42410,1.64,-8.73,-0.94,,,,,,,,,
42420,-39.23,-12.6,39.23,42420,3.44,-8.73,-0.8,,,,,,,,,
42430,-39.23,-19.84,34.73,42430,5.1,-8.73,-0.65,,,,,,,,,
42440,-39.23,-25.7,0.88,42440,6.55,-8.73,-0.52,,,,,,,,,
42450,-39.23,-19.8,-39.23,42450,6.58,-8.73,-0.43,,,,,,,,,
42460,-39.23,-4.8,-39.23,42460,2.85,-8.73,-0.32,,,,,,,,,
42470,-20.22,12.4,-39.23,42470,-2.59,-8.73,-0.27,,,,,,,,,
42480,4,23.14,-39.23,42480,-4.18,-2.83,0.41,,,,,,,,,
42490,-0.69,7.75,-39.23,42490,-2.19,5.76,1.85,,,,,,,,,
42500,-15,-12.21,-39.23,42500,-1.12,8.73,2.07,,,,,,,,,
42510,-19.14,-22.95,-10.67,42510,-0.37,8.73,1.48,,,,,,,,,
42520,-11.62,-28.41,30.14,42520,-0.72,8.73,0.47,,,,,,,,,
42530,-2.65,-28.53,39.23,42530,-0.79,6.18,-0.76,,,,,,,,,
42540,1.75,-17.22,39.23,42540,-0.73,2.76,-1.82,,,,,,,,,
42550,3.36,-3.98,39.23,42550,-0.36,-0.21,-2.21,,,,,,,,,
42560,2.77,4.46,19.07,42560,0.4,-2.03,-2,,,,,,,,,
42570,3.46,6.64,2.06,42570,1.22,-2.78,-1.55,,,,,,,,,
42580,4.38,7.78,-9.95,42580,1.73,-2.86,-1.05,,,,,,,,,
42590,5.83,9.41,-19.07,42590,1.7,-2.47,-0.63,,,,,,,,,
42600,6.46,10.41,-24,42600,1.71,-1.7,-0.17,,,,,,,,,
42610,6.74,8.47,-23.73,42610,1.48,-0.83,0.27,,,,,,,,,
42620,6.55,3.47,-19.53,42620,0.84,-0.07,0.49,,,,,,,,,
42630,6.08,-1.63,-12.6,42630,0.03,0.39,0.42,,,,,,,,,
42640,5.68,-4.84,-6.55,42640,-0.65,0.45,0.17,,,,,,,,,
42650,5.38,-6.45,-3.16,42650,-0.75,0.22,-0.14,,,,,,,,,
42660,5.24,-6.22,-2.42,42660,-0.54,-0.13,-0.46,,,,,,,,,
42670,5.13,-3.69,-3.4,42670,-0.29,-0.47,-0.7,,,,,,,,,
42680,5.26,-0.17,-6.34,42680,-0.15,-0.71,-0.79,,,,,,,,,
42690,5.51,3.73,-10.53,42690,-0.11,-0.77,-0.68,,,,,,,,,
42700,5.88,5.74,-13.4,42700,-0.09,-0.64,-0.44,,,,,,,,,
42710,5.98,6.24,-14.86,42710,0,-0.41,-0.12,,,,,,,,,
42720,5.89,5.12,-14.41,42720,0.09,-0.13,0.18,,,,,,,,,
42730,5.79,2.34,-11.86,42730,0.15,0.08,0.39,,,,,,,,,
42740,5.51,-0.28,-9.09,42740,0.14,0.16,0.45,,,,,,,,,
42750,5.47,-2.16,-6.59,42750,0.1,0.11,0.4,,,,,,,,,
42760,5.17,-3.04,-5.09,42760,0.05,-0.04,0.28,,,,,,,,,
42770,5.22,-3.21,-4.48,42770,-0.02,-0.24,0.15,,,,,,,,,
42780,5.04,-2.63,-5.22,42780,-0.08,-0.46,0.05,,,,,,,,,
42790,4.98,-2.34,-6.77,42790,-0.11,-0.61,-0.03,,,,,,,,,
42800,5.01,-1.56,-9.23,42800,-0.09,-0.71,-0.09,,,,,,,,,
42810,5.21,0.25,-12.37,42810,-0.04,-0.67,-0.09,,,,,,,,,
42820,5.31,1.53,-14.75,42820,0,-0.48,0.01,,,,,,,,,
42830,5.27,1.52,-15.02,42830,0.08,-0.22,0.15,,,,,,,,,
42840,5.19,0.6,-13.68,42840,0.15,0.01,0.26,,,,,,,,,
42850,5.09,-0.69,-11.82,42850,0.19,0.14,0.31,,,,,,,,,
42860,4.98,-1.74,-10.35,42860,0.18,0.2,0.3,,,,,,,,,
42870,4.89,-2.63,-9.38,42870,0.15,0.21,0.25,,,,,,,,,
42880,4.77,-2.99,-8.7,42880,0.12,0.19,0.16,,,,,,,,,
42890,4.17,-2.62,-8.8,42890,0.26,0.14,0.08,,,,,,,,,
42900,5,-2.45,-8.34,42900,0.28,0.11,0.01,,,,,,,,,
42910,4.75,-2.01,-7.84,42910,0.17,0.05,-0.07,,,,,,,,,
42920,4.84,-1.42,-7.96,42920,0.07,-0.04,-0.12,,,,,,,,,
42930,5.06,-0.94,-8.7,42930,0.01,-0.09,-0.13,,,,,,,,,
42940,4.82,-0.62,-9.56,42940,-0.04,-0.1,-0.13,,,,,,,,,
42950,4.75,-0.32,-9.96,42950,0.01,-0.08,-0.12,,,,,,,,,
42960,4.9,-0.14,-9.73,42960,0.05,-0.03,-0.1,,,,,,,,,
42970,4.87,0.28,-8.97,42970,0.07,-0.01,-0.07,,,,,,,,,
42980,4.88,0.5,-8.25,42980,0.11,-0.03,-0.02,,,,,,,,,
42990,4.96,0.71,-8,42990,0.16,-0.08,0.05,,,,,,,,,
43000,4.86,0.77,-8.24,43000,0.11,-0.12,0.12,,,,,,,,,
43010,4.88,0.14,-8.69,43010,-0.03,-0.13,0.17,,,,,,,,,
43020,4.73,-0.91,-9.03,43020,-0.17,-0.11,0.18,,,,,,,,,
43030,4.66,-1.86,-9.26,43030,-0.25,-0.08,0.13,,,,,,,,,
43040,4.63,-2.04,-8.9,43040,-0.25,-0.04,0.07,,,,,,,,,
43050,4.57,-1.79,-8.16,43050,-0.19,-0.04,0.02,,,,,,,,,
43060,4.58,-1.3,-7.55,43060,-0.15,-0.07,-0.01,,,,,,,,,
43070,4.61,-0.7,-6.97,43070,-0.16,-0.15,-0.02,,,,,,,,,
43080,4.67,-0.13,-6.95,43080,-0.19,-0.25,0,,,,,,,,,
43090,4.67,0.14,-7.48,43090,-0.18,-0.34,0.05,,,,,,,,,
43100,4.58,0.14,-7.87,43100,-0.13,-0.4,0.1,,,,,,,,,
43110,4.76,-0.22,-7.86,43110,-0.1,-0.45,0.15,,,,,,,,,
43120,4.7,-0.6,-7.87,43120,-0.05,-0.5,0.18,,,,,,,,,
43130,4.55,-1.15,-7.56,43130,0.1,-0.56,0.19,,,,,,,,,
43140,4.47,-1.67,-6.79,43140,0.26,-0.64,0.18,,,,,,,,,
43150,4.55,-1.74,-5.25,43150,0.39,-0.78,0.14,,,,,,,,,
43160,4.52,-1.41,-3.89,43160,0.51,-1.01,0.14,,,,,,,,,
43170,4.09,-1.48,-3.09,43170,0.71,-1.31,0.17,,,,,,,,,
43180,4.3,-1.63,-2.69,43180,0.95,-1.68,0.22,,,,,,,,,
43190,3.93,-1.71,-4.11,43190,1.17,-2.1,0.27,,,,,,,,,
43200,3.48,-1.2,-8.09,43200,1.27,-2.46,0.33,,,,,,,,,
43210,3.22,-0.16,-14.69,43210,1.35,-2.63,0.43,,,,,,,,,
43220,3.16,0.58,-22.87,43220,1.24,-2.51,0.57,,,,,,,,,
43230,3.5,0.86,-34.37,43230,0.37,-2.01,0.7,,,,,,,,,
43240,4.64,-0.5,-39.23,43240,-1.1,-0.85,0.75,,,,,,,,,
43250,5.43,-0.47,-39.23,43250,-2.24,1.01,0.8,,,,,,,,,
43260,2.75,-0.14,-39.23,43260,-2.01,3.73,0.95,,,,,,,,,
43270,-4.14,0.87,-39.23,43270,-0.75,6.87,1.22,,,,,,,,,
43280,-14.65,-0.05,-39.23,43280,0.44,8.73,1.41,,,,,,,,,
43290,-23.54,-0.76,-39.23,43290,0.96,8.73,1.36,,,,,,,,,
43300,-29.13,2.39,-35.09,43300,0.26,8.73,1.3,,,,,,,,,
43310,-31.97,3.53,-18.29,43310,-0.89,8.73,1.52,,,,,,,,,
43320,-32.01,1.28,-6.1,43320,-2.07,8.73,1.86,,,,,,,,,
43330,-31.86,-3.2,0.25,43330,-2.94,8.73,2.17,,,,,,,,,
43340,-31.1,-8.91,3.98,43340,-2.91,8.73,2.3,,,,,,,,,
43350,-29.69,-14.6,9.66,43350,-2.28,8.73,2.12,,,,,,,,,
43360,-27.09,-18.85,17.48,43360,-1.28,8.73,1.63,,,,,,,,,
43370,-25.96,-22.57,26.22,43370,-0.46,8.73,0.87,,,,,,,,,
43380,-22.68,-25.8,35.46,43380,-0.06,8.73,0.02,,,,,,,,,
43390,-18.88,-27.44,39.23,43390,-0.38,8.3,-1.23,,,,,,,,,
43400,-15.21,-22.88,39.23,43400,-0.29,6.44,-2.33,,,,,,,,,
43410,-12.3,-16.49,39.23,43410,-1.03,4.29,-3.17,,,,,,,,,
43420,-10.1,-8.07,39.23,43420,-0.62,1.98,-3.6,,,,,,,,,
43430,-8.4,2.77,39.23,43430,0.22,-0.28,-3.6,,,,,,,,,
43440,-7.84,12.61,39.23,43440,0.9,-2.43,-3.1,,,,,,,,,
43450,-8.43,17.73,39.23,43450,0.98,-4.54,-2.26,,,,,,,,,
43460,-11.69,17.72,39.23,43460,1.06,-6.99,-1.23,,,,,,,,,
43470,-18.59,13.61,39.23,43470,1.66,-8.73,-0.29,,,,,,,,,
43480,-30.14,4.79,39.23,43480,2.37,-8.73,0.48,,,,,,,,,
43490,-39.23,-6.87,39.23,43490,3.25,-8.73,0.92,,,,,,,,,
43500,-39.23,-15.38,39.23,43500,4.23,-8.73,1.05,,,,,,,,,
43510,-39.23,-21.73,26.46,43510,5.26,-8.73,1.18,,,,,,,,,
43520,-39.23,-25.83,-3.66,43520,5.76,-8.73,1.16,,,,,,,,,
43530,-39.23,-23.32,-39.23,43530,6.19,-8.73,1.2,,,,,,,,,
43540,-39.23,-5.81,-39.23,43540,3.81,-8.73,1.42,,,,,,,,,
43550,-27.9,8.69,-39.23,43550,-0.99,-8.73,1.54,,,,,,,,,
43560,3.74,13.5,-39.23,43560,-4.22,-3.62,1.97,,,,,,,,,
43570,-2.29,-11.37,-39.23,43570,-2.43,5.68,2.71,,,,,,,,,
43580,-16.59,-28.12,-39.23,43580,-1.07,8.73,2.09,,,,,,,,,
43590,-20.93,-29.49,-13.55,43590,-0.88,8.73,0.99,,,,,,,,,
43600,-16.22,-29.79,30.11,43600,-0.73,8.73,0.06,,,,,,,,,
43610,-6.01,-29.45,39.23,43610,-0.78,6.46,-1.06,,,,,,,,,
43620,0.37,-21.16,39.23,43620,-0.53,3.16,-2.06,,,,,,,,,
43630,1.4,-6.87,39.09,43630,-0.4,0.23,-2.62,,,,,,,,,
43640,2.06,3.98,17.91,43640,0.21,-1.52,-2.49,,,,,,,,,
43650,2.78,8.72,3.99,43650,0.95,-2.31,-1.97,,,,,,,,,
43660,3.76,9.07,-4.63,43660,1.48,-2.56,-1.38,,,,,,,,,
43670,4.78,7.77,-10.53,43670,1.52,-2.5,-0.92,,,,,,,,,
43680,6.02,6.65,-16.19,43680,1.34,-2.14,-0.55,,,,,,,,,
43690,6.68,5.95,-19.74,43690,1.2,-1.56,-0.26,,,,,,,,,
43700,6.72,3.87,-19.63,43700,0.92,-0.88,-0.04,,,,,,,,,
43710,6.55,0.39,-16.91,43710,0.5,-0.31,0.02,,,,,,,,,
43720,6.02,-2.66,-13.16,43720,0.02,0.05,-0.11,,,,,,,,,
43730,5.56,-3.8,-9.31,43730,-0.37,0.21,-0.35,,,,,,,,,
43740,5.14,-3.45,-6.06,43740,-0.63,0.16,-0.58,,,,,,,,,
43750,5.14,-2.07,-4.7,43750,-0.81,-0.02,-0.75,,,,,,,,,
43760,5.32,0.79,-5.9,43760,-0.84,-0.23,-0.8,,,,,,,,,
43770,5.49,3.71,-8.15,43770,-0.68,-0.36,-0.67,,,,,,,,,
43780,5.63,5.39,-10.13,43780,-0.5,-0.36,-0.4,,,,,,,,,
43790,5.75,5.44,-10.75,43790,-0.28,-0.27,-0.03,,,,,,,,,
43800,5.55,3.54,-10.35,43800,-0.12,-0.2,0.27,,,,,,,,,
43810,5.52,0.66,-9.16,43810,0.06,-0.16,0.44,,,,,,,,,
43820,5.21,-2.07,-7.91,43820,0.17,-0.17,0.46,,,,,,,,,
43830,5.17,-3.98,-7.05,43830,0.09,-0.24,0.35,,,,,,,,,
43840,5.12,-5.06,-6.71,43840,-0.07,-0.33,0.16,,,,,,,,,
43850,5.12,-4.74,-7.97,43850,-0.18,-0.44,-0.05,,,,,,,,,
43860,5.24,-3.16,-9.86,43860,-0.23,-0.47,-0.2,,,,,,,,,
43870,5.17,-1.32,-11.32,43870,-0.22,-0.42,-0.25,,,,,,,,,
43880,5.2,0.01,-11.85,43880,-0.19,-0.33,-0.21,,,,,,,,,
43890,5.2,0.53,-11.84,43890,-0.13,-0.24,-0.12,,,,,,,,,
43900,5.17,0.31,-11.63,43900,-0.1,-0.16,-0.02,,,,,,,,,
43910,5.08,-0.29,-11.3,43910,-0.07,-0.09,0.05,,,,,,,,,
43920,4.97,-1.07,-10.6,43920,-0.06,-0.03,0.07,,,,,,,,,
43930,4.99,-1.35,-10.09,43930,-0.08,-0.01,0.07,,,,,,,,,
43940,4.83,-1.75,-9.63,43940,-0.1,0,0.05,,,,,,,,,
43950,4.95,-2.18,-9.22,43950,-0.08,-0.02,0,,,,,,,,,
43960,4.89,-1.88,-9.48,43960,-0.04,-0.05,-0.05,,,,,,,,,
43970,5.01,-1.06,-10.1,43970,0,-0.05,-0.09,,,,,,,,,
43980,4.9,-0.78,-10.52,43980,0.01,-0.01,-0.09,,,,,,,,,
43990,5.06,-0.88,-10.2,43990,-0.01,0.05,-0.1,,,,,,,,,
44000,4.95,-0.31,-9.55,44000,-0.05,0.1,-0.1,,,,,,,,,
44010,4.83,0.11,-8.75,44010,-0.11,0.11,-0.06,,,,,,,,,
44020,4.85,0.27,-8.07,44020,-0.14,0.1,-0.02,,,,,,,,,
44030,4.85,0.24,-7.78,44030,-0.15,0.05,0.02,,,,,,,,,
44040,4.82,0.32,-8.35,44040,-0.14,-0.01,0.07,,,,,,,,,
44050,4.73,0.47,-9.24,44050,-0.12,-0.02,0.12,,,,,,,,,
44060,4.74,0.05,-9.76,44060,-0.11,0.01,0.16,,,,,,,,,
44070,4.6,-0.57,-9.52,44070,-0.1,0.05,0.18,,,,,,,,,
44080,4.78,-1.13,-8.91,44080,-0.12,0.07,0.17,,,,,,,,,
44090,4.61,-1.58,-8.27,44090,-0.2,0.07,0.13,,,,,,,,,
44100,4.65,-1.91,-7.54,44100,-0.26,0.03,0.08,,,,,,,,,
44110,4.66,-1.91,-7.33,44110,-0.27,-0.03,0.03,,,,,,,,,
44120,4.58,-1.77,-7.31,44120,-0.27,-0.11,-0.03,,,,,,,,,
44130,4.76,-1.33,-7.58,44130,-0.27,-0.18,-0.07,,,,,,,,,
44140,4.67,-0.47,-8.31,44140,-0.24,-0.23,-0.08,,,,,,,,,
44150,4.64,0.29,-8.81,44150,-0.18,-0.24,-0.03,,,,,,,,,
44160,4.77,0.9,-9.02,44160,-0.1,-0.25,0.05,,,,,,,,,
44170,4.73,0.75,-9.04,44170,-0.02,-0.25,0.14,,,,,,,,,
44180,4.7,0.18,-8.57,44180,0.04,-0.27,0.21,,,,,,,,,
44190,4.64,-0.61,-7.97,44190,0.05,-0.31,0.24,,,,,,,,,
44200,4.63,-1.52,-7.2,44200,0.05,-0.39,0.23,,,,,,,,,
44210,4.61,-2.29,-7.04,44210,0.03,-0.5,0.18,,,,,,,,,
44220,4.72,-2.96,-7,44220,0.1,-0.62,0.11,,,,,,,,,
44230,4.69,-3.59,-7.08,44230,0.26,-0.78,0,,,,,,,,,
44240,4.74,-3.37,-7.92,44240,0.51,-0.95,-0.09,,,,,,,,,
44250,4.86,-2.68,-10.2,44250,0.73,-1.1,-0.15,,,,,,,,,
44260,4.96,-1.67,-13.77,44260,0.85,-1.15,-0.17,,,,,,,,,
44270,5.36,-0.89,-18.51,44270,0.67,-1.06,-0.18,,,,,,,,,
44280,6.07,0.25,-25.8,44280,0.07,-0.78,-0.18,,,,,,,,,
44290,7.35,2.59,-35.46,44290,-1.24,-0.18,-0.18,,,,,,,,,
44300,6.73,6.84,-39.23,44300,-2.12,0.91,0.04,,,,,,,,,
44310,5.69,9.14,-39.23,44310,-2.41,2.67,0.51,,,,,,,,,
44320,3.15,8.39,-39.23,44320,-1.92,4.76,1.12,,,,,,,,,
44330,-1.54,6.17,-39.23,44330,-1.12,6.63,1.63,,,,,,,,,
44340,-7.33,5.34,-39.23,44340,-0.74,8.17,2,,,,,,,,,
44350,-11.52,7.07,-34.43,44350,-0.91,8.73,2.28,,,,,,,,,
44360,-14.97,7.85,-27.45,44360,-1.52,8.73,2.68,,,,,,,,,
44370,-17.85,3.97,-21.01,44370,-1.92,8.73,3.11,,,,,,,,,
44380,-19.51,-0.65,-16.37,44380,-1.89,8.73,3.35,,,,,,,,,
44390,-21.88,-5.15,-10.18,44390,-1.75,8.73,3.4,,,,,,,,,
44400,-22.82,-10.14,-2.1,44400,-1.58,8.73,3.24,,,,,,,,,
44410,-22.54,-14.82,7.15,44410,-1.42,8.73,2.86,,,,,,,,,
44420,-21.08,-18.9,17.02,44420,-1.38,8.73,2.28,,,,,,,,,
44430,-18.36,-22.67,26.02,44430,-1.37,8.73,1.56,,,,,,,,,
44440,-16.44,-25.4,33.52,44440,-1.56,8.22,0.73,,,,,,,,,
44450,-13,-28.3,38.32,44450,-1.18,6.73,-0.34,,,,,,,,,
44460,-10.72,-27.16,39.23,44460,-0.84,5.23,-1.42,,,,,,,,,
44470,-8.8,-21.24,39.23,44470,-0.82,3.59,-2.39,,,,,,,,,
44480,-7.2,-12.82,39.23,44480,-0.59,1.85,-3.03,,,,,,,,,
44490,-6.48,-4.5,39.23,44490,-0.24,0.01,-3.25,,,,,,,,,
44500,-5.93,3,39.23,44500,0.57,-1.83,-3.12,,,,,,,,,
44510,-6.38,8.76,39.23,44510,1.13,-3.74,-2.71,,,,,,,,,
44520,-8.28,10.45,39.23,44520,1.24,-5.85,-2.14,,,,,,,,,
44530,-13.89,7.92,39.23,44530,1.48,-8.26,-1.54,,,,,,,,,
44540,-23.59,2.29,39.23,44540,2.43,-8.73,-0.99,,,,,,,,,
44550,-39.23,-5.3,39.23,44550,3.45,-8.73,-0.56,,,,,,,,,
44560,-39.23,-15.16,39.23,44560,4.74,-8.73,-0.31,,,,,,,,,
44570,-39.23,-19.15,29.46,44570,6.02,-8.73,-0.17,,,,,,,,,
44580,-39.23,-19.62,-5.99,44580,7.49,-8.73,0.17,,,,,,,,,
44590,-39.23,-15.71,-39.23,44590,8.29,-8.73,0.85,,,,,,,,,
44600,-39.23,4.15,-39.23,44600,3.73,-8.73,1.35,,,,,,,,,
44610,-19.53,7.39,-39.23,44610,0.25,-8.73,2.15,,,,,,,,,
44620,3.64,7.55,-39.23,44620,-2.65,-1.75,2.68,,,,,,,,,
44630,-4.21,-12.37,-39.23,44630,-3.4,6.11,3.1,,,,,,,,,
44640,-17.34,-29.29,-39.23,44640,-3.84,8.73,2.58,,,,,,,,,
44650,-20.35,-35.68,-2.52,44650,-3.55,8.73,1.59,,,,,,,,,
44660,-11.88,-38.15,37.95,44660,-2.4,8.09,0.46,,,,,,,,,
44670,-2.2,-33.59,39.23,44670,-0.8,4.49,-1.06,,,,,,,,,
44680,0.72,-17.97,39.23,44680,-0.29,1.11,-2.14,,,,,,,,,
44690,0.66,-4.63,27.21,44690,0.15,-1.31,-2.43,,,,,,,,,
44700,1.58,0.17,5.87,44700,1.05,-2.42,-2.26,,,,,,,,,
44710,2.64,2.47,-6.65,44710,1.78,-2.66,-2.01,,,,,,,,,
44720,4.13,6.18,-14.42,44720,1.95,-2.46,-1.76,,,,,,,,,
44730,5.2,10.87,-19.79,44730,1.8,-1.93,-1.37,,,,,,,,,
44740,5.83,12.44,-21.35,44740,1.17,-1.24,-0.84,,,,,,,,,
44750,6.28,9.33,-21.67,44750,0.07,-0.52,-0.39,,,,,,,,,
44760,6.08,3.46,-19.58,44760,-0.81,0.17,-0.17,,,,,,,,,
44770,5.46,-1.51,-13.91,44770,-1.19,0.6,-0.18,,,,,,,,,
44780,4.97,-4.95,-7.83,44780,-1.26,0.7,-0.39,,,,,,,,,
44790,4.47,-5.6,-3.45,44790,-1.13,0.54,-0.67,,,,,,,,,
44800,4.2,-3.65,-1.55,44800,-1,0.19,-0.94,,,,,,,,,
44810,4.35,0.73,-4.22,44810,-0.92,-0.16,-1.06,,,,,,,,,
44820,4.81,5.68,-9.29,44820,-0.78,-0.31,-0.94,,,,,,,,,
44830,5.32,8.96,-13.48,44830,-0.63,-0.22,-0.59,,,,,,,,,
44840,5.73,9.21,-15.15,44840,-0.53,0.03,-0.14,,,,,,,,,
44850,5.39,7.23,-13.86,44850,-0.27,0.31,0.27,,,,,,,,,
44860,5.14,4.33,-10.05,44860,-0.05,0.47,0.56,,,,,,,,,
44870,4.57,1.11,-5.65,44870,0.06,0.42,0.69,,,,,,,,,
44880,4.46,-2.07,-3.4,44880,0.02,0.19,0.66,,,,,,,,,
44890,4.49,-4.33,-4.03,44890,-0.08,-0.09,0.48,,,,,,,,,
44900,4.55,-4.85,-6.08,44900,-0.17,-0.25,0.26,,,,,,,,,
44910,4.54,-4.27,-7.49,44910,-0.23,-0.33,0.05,,,,,,,,,
44920,4.48,-2.74,-8.06,44920,-0.21,-0.37,-0.09,,,,,,,,,
44930,4.69,-1.02,-8.99,44930,-0.11,-0.42,-0.16,,,,,,,,,
44940,4.79,1.31,-11.16,44940,-0.02,-0.42,-0.13,,,,,,,,,
44950,4.87,3.19,-12.89,44950,0,-0.3,0.01,,,,,,,,,
44960,4.88,3.04,-13.23,44960,0.03,-0.15,0.2,,,,,,,,,
44970,4.87,1.38,-12.29,44970,0.08,-0.01,0.34,,,,,,,,,
44980,4.73,-0.62,-11.14,44980,0.08,0.07,0.37,,,,,,,,,
44990,4.7,-2.04,-9.92,44990,0.03,0.1,0.31,,,,,,,,,
45000,4.6,-2.87,-8.65,45000,-0.04,0.07,0.18,,,,,,,,,
45010,4.6,-3.03,-7.73,45010,-0.06,-0.01,0.04,,,,,,,,,
45020,4.59,-2.37,-7.67,45020,-0.07,-0.09,-0.09,,,,,,,,,
45030,4.63,-1.36,-7.78,45030,-0.06,-0.17,-0.17,,,,,,,,,
45040,4.78,-0.17,-8.49,45040,-0.03,-0.24,-0.2,,,,,,,,,
45050,4.88,1.09,-9.82,45050,0.02,-0.27,-0.18,,,,,,,,,
45060,4.9,2.31,-10.89,45060,0.06,-0.22,-0.09,,,,,,,,,
45070,4.95,2.83,-11.32,45070,0.04,-0.14,0.04,,,,,,,,,
45080,4.77,2.27,-10.97,45080,0.04,-0.06,0.17,,,,,,,,,
45090,4.68,1.01,-10.52,45090,0.04,0,0.24,,,,,,,,,
45100,4.64,-0.37,-9.82,45100,0.01,0.03,0.25,,,,,,,,,
45110,4.55,-1.12,-9.55,45110,-0.04,0.03,0.2,,,,,,,,,
45120,4.61,-1.44,-9.25,45120,-0.08,0.04,0.14,,,,,,,,,
45130,4.46,-1.24,-9.11,45130,-0.14,0.03,0.07,,,,,,,,,
45140,4.62,-0.6,-8.9,45140,-0.17,0.02,0.03,,,,,,,,,
45150,4.52,0.07,-8.97,45150,-0.2,0.01,0.03,,,,,,,,,
45160,4.65,0.24,-9.03,45160,-0.15,0,0.06,,,,,,,,,
45170,4.57,0.23,-9,45170,-0.13,-0.01,0.1,,,,,,,,,
45180,4.53,-0.34,-8.93,45180,-0.13,0,0.12,,,,,,,,,
45190,4.56,-0.76,-9.03,45190,-0.12,-0.01,0.11,,,,,,,,,
45200,4.56,-0.91,-9.05,45200,-0.08,-0.01,0.1,,,,,,,,,
45210,4.54,-0.77,-8.91,45210,-0.03,0,0.08,,,,,,,,,
45220,4.4,-0.72,-8.38,45220,0.01,-0.01,0.06,,,,,,,,,
45230,4.43,-0.66,-7.47,45230,0.05,-0.05,0.04,,,,,,,,,
