Timestamp',AccelerometerX,AccelerometerY,AccelerometerZ,,,,Timestamp',GyroscopeX,GyroscopeY,GyroscopeZ
5450,-39.23,-39.23,13.56,,,,5450,0.95,0.93,8.73
5460,-39.23,-39.23,23.29,,,,5460,1.38,2.68,8.73
5470,-17.85,-39.23,35.16,,,,5470,0.9,3.87,8.73
5480,-0.79,-39.23,39.23,,,,5480,0.94,2.34,8.73
5490,39.23,-39.23,39.23,,,,5490,1.82,-1.17,8.73
5500,39.23,-39.23,39.23,,,,5500,2.95,-3.92,8.73
5510,39.23,-39.23,14.87,,,,5510,3.74,-1.81,8.73
5520,39.23,-39.23,15.57,,,,5520,3.2,1.23,6.99
5530,39.23,-39.23,8.35,,,,5530,2.29,0.64,2
5540,39.23,-34.98,8.97,,,,5540,1,0.39,-0.82
5550,39.23,-26.55,8.95,,,,5550,0.75,0.44,-2.9
5560,36.85,-19.94,6.31,,,,5560,0.74,0.53,-4.18
5570,28.94,-15.74,0.07,,,,5570,0.7,0.64,-5.25
5580,22.22,-12.11,-3.41,,,,5580,0.19,0.68,-5.98
5590,17.62,-9.49,-2.32,,,,5590,-0.6,0.13,-6.52
5600,12.58,-7.63,0.52,,,,5600,-1.39,-0.52,-7
5610,7.1,-5.62,5.4,,,,5610,-1.92,-0.88,-7.33
5620,1.54,-3.77,6.67,,,,5620,-2,-0.8,-7.56
5630,-4.47,-1.36,5.91,,,,5630,-2,-0.2,-7.53
5640,-7.96,0.68,6.22,,,,5640,-2.13,0.15,-7.06
5650,-8.6,2.63,7.38,,,,5650,-2.31,0,-6.31
5660,-7.08,3.09,9.19,,,,5660,-2.47,-0.28,-5.6
5670,-5.97,3.67,11.23,,,,5670,-2.51,-0.34,-5.09
5680,-5.27,4.17,14.17,,,,5680,-2.35,-0.21,-4.71
5690,-5.22,4.96,16.22,,,,5690,-1.95,-0.07,-4.35
5700,-5.18,4.92,16.07,,,,5700,-1.47,-0.03,-3.96
5710,-4.74,4.76,14.31,,,,5710,-1.08,0.02,-3.52
5720,-3.85,4.42,13.23,,,,5720,-0.87,0.1,-3.14
5730,-2.81,4.06,12.39,,,,5730,-0.73,0.23,-2.87
5740,-2.07,3.8,11.88,,,,5740,-0.63,0.45,-2.69
5750,-1.44,3.46,11.4,,,,5750,-0.54,0.72,-2.61
5760,-1.07,3.28,11.15,,,,5760,-0.5,0.98,-2.58
5770,-1,3,11.2,,,,5770,-0.52,1.12,-2.58
5780,-1.21,3.06,11.72,,,,5780,-0.55,1.1,-2.58
5790,-1.88,3.53,12.64,,,,5790,-0.6,0.87,-2.51
5800,-2.39,3.94,12.94,,,,5800,-0.6,0.48,-2.34
5810,-2.52,4.11,12.85,,,,5810,-0.6,0.06,-2.12
5820,-2.36,4.11,13.21,,,,5820,-0.59,-0.28,-1.91
5830,-2.35,4.16,13.21,,,,5830,-0.51,-0.46,-1.76
5840,-2.52,4.22,12.61,,,,5840,-0.41,-0.52,-1.59
5850,-2.33,3.97,11.69,,,,5850,-0.33,-0.37,-1.44
5860,-1.91,3.53,11.15,,,,5860,-0.31,-0.13,-1.38
5870,-1.99,3.5,11.22,,,,5870,-0.32,0.14,-1.38
5880,-2.4,3.72,11.62,,,,5880,-0.32,0.4,-1.38
5890,-2.91,4.02,12.05,,,,5890,-0.29,0.59,-1.34
5900,-3.5,4.41,12.2,,,,5900,-0.22,0.69,-1.23
5910,-3.52,4.61,12.48,,,,5910,-0.17,0.67,-1.08
5920,-3.38,4.71,12.57,,,,5920,-0.11,0.53,-0.91
5930,-3.24,4.68,12.08,,,,5930,-0.07,0.3,-0.74
5940,-2.64,4.61,11.56,,,,5940,-0.06,0.05,-0.56
5950,-1.91,4.3,11.2,,,,5950,-0.07,-0.08,-0.45
5960,-1.3,4.12,10.99,,,,5960,-0.06,-0.1,-0.39
5970,-1.03,3.94,10.83,,,,5970,-0.05,-0.05,-0.38
5980,-1.06,3.87,10.57,,,,5980,-0.06,0.02,-0.39
5990,-1.07,4.05,10.74,,,,5990,-0.1,0.08,-0.38
6000,-1.12,4.27,11.09,,,,6000,-0.09,0.12,-0.35
6010,-1.17,4.37,11.09,,,,6010,-0.05,0.14,-0.31
6020,-1.11,4.39,11.16,,,,6020,-0.02,0.16,-0.25
6030,-1.07,4.44,11.09,,,,6030,0.01,0.14,-0.19
6040,-0.99,4.44,10.78,,,,6040,0.01,0.07,-0.12
6050,-0.7,4.39,10.58,,,,6050,-0.02,-0.01,-0.06
6060,-0.35,4.23,10.57,,,,6060,-0.04,-0.07,-0.02
6070,-0.08,4.19,10.51,,,,6070,-0.06,-0.1,-0.01
6080,-0.04,4.1,10.47,,,,6080,-0.07,-0.1,-0.04
6090,-0.1,4.09,10.16,,,,6090,-0.1,-0.09,-0.05
6100,0.02,4,10.2,,,,6100,-0.16,-0.09,-0.05
6110,0.23,3.89,10.61,,,,6110,-0.2,-0.09,-0.07
6120,0.21,3.89,11.03,,,,6120,-0.21,-0.09,-0.1
6130,0.12,3.9,11.3,,,,6130,-0.2,-0.08,-0.11
6140,0.05,3.93,11.29,,,,6140,-0.18,-0.06,-0.12
6150,0.14,3.94,11.23,,,,6150,-0.17,-0.05,-0.12
6160,0.16,3.93,11.4,,,,6160,-0.16,-0.04,-0.12
6170,0.18,3.85,11.29,,,,6170,-0.13,-0.03,-0.12
6180,0.14,3.83,10.96,,,,6180,-0.15,-0.01,-0.13
6190,0.16,3.77,11.11,,,,6190,-0.17,0,-0.12
6200,0.3,3.77,11.33,,,,6200,-0.18,0.01,-0.11
6210,0.49,3.72,11.4,,,,6210,-0.17,0.02,-0.12
6220,0.68,3.62,11.5,,,,6220,-0.17,0.02,-0.16
6230,0.67,3.64,11.49,,,,6230,-0.16,0.01,-0.19
6240,0.61,3.67,11.46,,,,6240,-0.16,0,-0.22
6250,0.51,3.73,11.3,,,,6250,-0.16,-0.02,-0.25
6260,0.36,3.76,11.29,,,,6260,-0.16,-0.02,-0.26
6270,0.18,3.9,11.2,,,,6270,-0.17,-0.01,-0.27
6280,0.12,3.98,11.22,,,,6280,-0.17,0,-0.27
6290,0.03,4.04,11.27,,,,6290,-0.16,0.02,-0.26
6300,0.12,4.02,11.24,,,,6300,-0.15,0.02,-0.24
6310,0.14,4.03,11.16,,,,6310,-0.15,0.02,-0.23
6320,0.18,4.06,11.2,,,,6320,-0.14,0.03,-0.23
6330,0.23,3.97,11.04,,,,6330,-0.13,0.04,-0.23
6340,0.18,4.03,10.95,,,,6340,-0.15,0.06,-0.23
6350,0.12,4.02,11.09,,,,6350,-0.16,0.06,-0.23
6360,0.09,4.03,11.24,,,,6360,-0.16,0.04,-0.22
6370,0.1,4.03,11.23,,,,6370,-0.14,0.02,-0.21
6380,0.1,3.98,11.1,,,,6380,-0.13,0.04,-0.2
6390,0.03,4.02,11.12,,,,6390,-0.13,0.06,-0.19
6400,0.02,4.04,11.2,,,,6400,-0.13,0.07,-0.18
6410,0.15,4.02,11.16,,,,6410,-0.11,0.08,-0.16
6420,0.29,3.98,11.09,,,,6420,-0.1,0.08,-0.16
6430,0.41,3.82,10.95,,,,6430,-0.1,0.1,-0.18
6440,0.39,3.84,10.98,,,,6440,-0.12,0.11,-0.19
6450,0.37,3.86,11.17,,,,6450,-0.14,0.1,-0.2
6460,0.23,3.97,11.35,,,,6460,-0.13,0.07,-0.21
6470,0.25,3.99,11.31,,,,6470,-0.12,0.03,-0.2
6480,0.3,3.99,11.23,,,,6480,-0.11,0,-0.2
6490,0.34,3.9,11.06,,,,6490,-0.11,0.01,-0.21
6500,0.27,3.93,10.81,,,,6500,-0.12,0.02,-0.22
6510,0.16,3.93,10.74,,,,6510,-0.14,0.04,-0.22
6520,0.21,3.98,10.92,,,,6520,-0.15,0.05,-0.21
6530,0.31,4.03,10.98,,,,6530,-0.15,0.04,-0.21
6540,0.4,3.9,11.1,,,,6540,-0.15,0.06,-0.21
6550,0.36,3.93,11.03,,,,6550,-0.15,0.08,-0.23
6560,0.18,3.99,11.31,,,,6560,-0.16,0.08,-0.23
6570,0.17,4.01,11.32,,,,6570,-0.15,0.05,-0.21
6580,0.3,4,11.36,,,,6580,-0.14,0.01,-0.21
6590,0.27,3.95,11.28,,,,6590,-0.14,0.01,-0.21
6600,0.17,3.99,11.17,,,,6600,-0.13,0.02,-0.21
6610,0.02,4.02,11.21,,,,6610,-0.13,0.04,-0.21
6620,0.08,3.99,11.25,,,,6620,-0.12,0.05,-0.2
6630,0.14,3.97,11.14,,,,6630,-0.11,0.05,-0.19
6640,0.16,3.93,11.05,,,,6640,-0.1,0.05,-0.19
6650,0.11,3.92,10.99,,,,6650,-0.12,0.06,-0.2
6660,0.05,3.98,11.25,,,,6660,-0.13,0.06,-0.2
6670,0.04,3.95,11.17,,,,6670,-0.12,0.04,-0.19
6680,0.04,3.97,11.14,,,,6680,-0.11,0.04,-0.18
6690,0.15,3.92,11.03,,,,6690,-0.1,0.04,-0.18
6700,0.12,3.91,10.95,,,,6700,-0.1,0.05,-0.19
6710,-0.06,3.97,10.97,,,,6710,-0.11,0.06,-0.19
6720,-0.15,3.99,11,,,,6720,-0.12,0.05,-0.18
6730,-0.12,4.06,11.07,,,,6730,-0.12,0.04,-0.16
6740,-0.05,4.03,11.07,,,,6740,-0.11,0.03,-0.14
6750,0.03,3.97,11.03,,,,6750,-0.11,0.03,-0.13
6760,0.24,3.93,10.98,-0.11,0,,,,,
